Level 5
Baris 1 :530070000
Baris 2 :600195000
Baris 3 :098000060
Baris 4 :800060003
Baris 5 :400803001
Baris 6 :700020006
Baris 7 :060000280
Baris 8 :000419005
Baris 9 :000080079
Level 4
Baris 1 :600300000
Baris 2 :315208006
Baris 3 :090060030
Baris 4 :000080600
Baris 5 :900000002
Baris 6 :001040000
Baris 7 :060020080
Baris 8 :200906541
Baris 9 :000004003
Level 3
Baris 1 :000000020
Baris 2 :040680571
Baris 3 :375200008
Baris 4 :281035059
Baris 5 :400107205
Baris 6 :759026304
Baris 7 :196000000
Baris 8 :007900030
Baris 9 :830502100
Level 2
Baris 1 :006070304
Baris 2 :039205801
Baris 3 :008014000
Baris 4 :297086000
Baris 5 :001000900
Baris 6 :000790168
Baris 7 :000530600
Baris 8 :603807540
Baris 9 :502040700
Level 1
Baris 1 :975021386
Baris 2 :283600451
Baris 3 :006003907
Baris 4 :050206803
Baris 5 :002319004
Baris 6 :300080102
Baris 7 :107068045
Baris 8 :609000018
Baris 9 :528174030
